type,km0,km1,len_km,detail
MULTITRACK,195.23461913638727,198.16428351668694,2.92966438029967,6 tracks
RUN CURVE,195.79830382765638,196.3602473234268,0.56,L avg -3.06 max 9.87 deg/100ft
RUN STRAIGHT,196.3602473234268,196.62723047519768,0.27,
BRIDGE,196.55518163496885,196.67563117981737,0.1204495448485261,
RUN CURVE,196.62723047519768,197.32402219732813,0.7,R avg +0.94 max 3.65 deg/100ft
RUN STRAIGHT,197.49233089909134,198.0525386546277,0.56,
RUN CURVE,198.0525386546277,200.178764465573,2.13,R avg +0.73 max 12.51 deg/100ft
RUN CURVE,200.2129087866319,200.7441599098934,0.53,L avg -2.01 max 5.04 deg/100ft
RUN CURVE,200.81930763257364,201.19428022388755,0.37,L avg -3.33 max 5.53 deg/100ft
RUN CURVE,201.2909056251081,203.20772567631428,1.92,R avg +0.19 max 6.73 deg/100ft
RUN CURVE,203.26829214652344,203.51859160106443,0.25,R avg +1.54 max 3.32 deg/100ft
MULTITRACK,203.66394761054522,209.49172839022458,5.827780779679358,12 tracks
RUN CURVE,203.70291394493879,203.9255192781706,0.22,L avg -0.10 max 2.46 deg/100ft
RUN CURVE,203.99319170050708,204.15429261034743,0.16,R avg +0.19 max 0.19 deg/100ft
RUN CURVE,204.17063277615938,204.96029660984223,0.79,R avg +0.08 max 5.84 deg/100ft
RUN CURVE,204.98891292227063,205.1416408139433,0.15,R avg +0.28 max 0.28 deg/100ft
RUN STRAIGHT,205.1416408139433,205.46183184278513,0.32,
RUN CURVE,205.46183184278513,206.15282633222083,0.69,R avg +1.27 max 4.62 deg/100ft
STATION,205.84057635703184,205.84057635703184,0.0,Boston Bar
RUN STRAIGHT,206.15282633222083,206.70657701621928,0.55,
YARD,206.79177402903352,208.25983661012458,1.4680625810910612,14 tracks
RUN CURVE,206.82414110147073,207.10013565389795,0.28,L avg -1.31 max 2.52 deg/100ft
RUN STRAIGHT,207.10013565389795,207.64976787470994,0.55,
RUN STRAIGHT,207.77151454676613,208.04028102817483,0.27,
RUN STRAIGHT,208.13872473200456,208.4769576312121,0.34,
SIDING,208.13872473200456,208.13872473200456,2.457936425491491,Passing Track North  8064 ft
RUN CURVE,208.7202924057455,209.21085989503914,0.49,L avg -0.23 max 2.00 deg/100ft
RUN CURVE,209.28468563296417,209.69487052537352,0.41,L avg -0.94 max 2.62 deg/100ft
RUN STRAIGHT,209.69487052537352,209.89775812238074,0.2,
RUN CURVE,209.89775812238074,210.69829023986844,0.8,L avg -0.77 max 7.87 deg/100ft
RUN CURVE,210.73709894253028,210.99736397869324,0.26,L avg -4.80 max 9.21 deg/100ft
RUN CURVE,211.41836540727158,211.80976002377187,0.39,L avg -1.40 max 3.92 deg/100ft
RUN CURVE,212.28251098451813,212.60941236225503,0.33,L avg -0.09 max 0.71 deg/100ft
RUN CURVE,212.69402554027235,212.8729444099465,0.18,L avg -0.69 max 3.25 deg/100ft
RUN CURVE,212.9030409721424,213.16474306240582,0.26,L avg -1.87 max 8.13 deg/100ft
RUN STRAIGHT,213.24602456219324,213.52329133894563,0.28,
RUN CURVE,213.6303891322805,214.389685920753,0.76,L avg -0.44 max 2.24 deg/100ft
MULTITRACK,214.2798416000414,216.84240864481782,2.562567044776415,2 tracks
RUN CURVE,214.43352338392387,214.73695793927746,0.3,L avg -0.27 max 2.03 deg/100ft
RUN CURVE,214.85111830207083,215.309851719944,0.46,L avg -0.40 max 0.40 deg/100ft
RUN STRAIGHT,215.309851719944,215.47143458507554,0.16,
RUN CURVE,215.47143458507554,216.13130128018253,0.66,L avg -0.72 max 1.41 deg/100ft
RUN CURVE,216.15996836876002,216.34117468543826,0.18,R avg +3.40 max 4.48 deg/100ft
SIDING,216.15996836876002,216.15996836876002,2.342955663233025,Siding Chaumox  7687 ft
RUN CURVE,216.36525416393943,216.533177380032,0.17,L avg -3.30 max 4.66 deg/100ft
RUN CURVE,216.5556460650912,216.77982744226523,0.22,L avg -0.23 max 1.71 deg/100ft
RUN CURVE,216.84240864481782,217.73952249102612,0.9,R avg +1.05 max 5.33 deg/100ft
BRIDGE,217.69263817273935,217.76064197918697,0.06800380644762072,
RUN CURVE,217.76064197918697,218.3971339971674,0.64,L avg -0.48 max 5.18 deg/100ft
RUN CURVE,218.49737421528366,218.93718286712814,0.44,R avg +0.67 max 5.48 deg/100ft
RUN CURVE,218.9758866528892,219.2526901669692,0.28,R avg +0.76 max 8.14 deg/100ft
RUN CURVE,219.28955308727825,219.6461514448678,0.36,R avg +2.97 max 8.79 deg/100ft
MULTITRACK,219.28955308727825,219.73417860094278,0.4446255136645334,2 tracks
BRIDGE,219.37490161081925,219.58290767157942,0.20800606076016948,
RUN CURVE,219.67945301000688,220.32942683223695,0.65,R avg +0.90 max 11.11 deg/100ft
RUN CURVE,220.41401246671188,221.20813463339064,0.79,L avg -0.16 max 11.61 deg/100ft
RUN CURVE,221.43490345865433,223.4721243540888,2.04,L avg -0.16 max 5.87 deg/100ft
MULTITRACK,222.53622509924602,225.40867783042845,2.8724527311824204,4 tracks
RUN STRAIGHT,223.4721243540888,223.66051556516163,0.19,
RUN CURVE,223.66051556516163,224.13535221297485,0.47,L avg -0.36 max 0.96 deg/100ft
SIDING,223.66051556516163,223.66051556516163,1.7593075462308412,Siding Keefers  5772 ft
RUN STRAIGHT,224.32800405434887,224.4999440636594,0.17,
RUN STRAIGHT,224.5703849533017,225.2384098847534,0.67,
RUN CURVE,225.2384098847534,226.781784689776,1.54,L avg -0.19 max 11.63 deg/100ft
RUN CURVE,226.89547485278513,229.44614144245267,2.55,L avg -0.08 max 6.59 deg/100ft
RUN CURVE,229.4917411516117,229.8651380135508,0.37,R avg +2.26 max 3.89 deg/100ft
RUN STRAIGHT,229.8651380135508,230.02724537352648,0.16,
RUN STRAIGHT,230.14781844482852,230.3004861349915,0.15,
RUN CURVE,230.3004861349915,230.78000674456558,0.48,R avg +0.16 max 3.59 deg/100ft
RUN CURVE,230.86045218865146,231.12965550782948,0.27,L avg -1.69 max 2.47 deg/100ft
RUN CURVE,231.2115999081821,231.36437702565325,0.15,L avg -1.37 max 1.70 deg/100ft
RUN CURVE,231.45201056553586,232.74216248529348,1.29,R avg +0.20 max 6.26 deg/100ft
MULTITRACK,231.68378863169346,232.03952650382448,0.3557378721310158,3 tracks
BRIDGE,231.76887291240044,231.98375509367122,0.21488218127078085,
RUN STRAIGHT,232.74216248529348,232.95015030756204,0.21,
RUN CURVE,232.95015030756204,233.23293653820156,0.28,L avg -0.80 max 1.34 deg/100ft
RUN CURVE,233.32189382739642,233.9324147727391,0.61,R avg +0.87 max 5.07 deg/100ft
RUN STRAIGHT,233.9324147727391,234.1623587519552,0.23,
RUN STRAIGHT,234.24027516476994,234.4681065980136,0.23,
MULTITRACK,234.3525137687947,237.23375404250393,2.8812402737092384,4 tracks
RUN CURVE,234.4681065980136,234.6214708332192,0.15,L avg -0.01 max 0.63 deg/100ft
BRIDGE,234.4681065980136,234.56124596015442,0.09313936214081764,
RUN CURVE,234.97044146154647,235.17384021746332,0.2,L avg -0.76 max 4.71 deg/100ft
RUN CURVE,235.65606287155978,236.11620811038992,0.46,R avg +1.80 max 5.10 deg/100ft
SIDING,235.86574506624333,235.86574506624333,2.2918928847354327,Siding Kanaka  7519 ft
RUN CURVE,236.5324378884224,236.79709924893982,0.26,L avg -2.79 max 8.23 deg/100ft
RUN CURVE,236.82720847593598,238.11837107008998,1.29,L avg -2.11 max 12.59 deg/100ft
MULTITRACK,237.50961033965856,238.0667841074417,0.5571737677831266,4 tracks
RUN CURVE,238.39436696761638,240.06179762849584,1.67,R avg +0.57 max 7.24 deg/100ft
MULTITRACK,239.72824063025095,240.61009792949125,0.8818572992402949,4 tracks
TUNNEL,239.84500051877575,240.067435323851,0.22243480507523827,
BRIDGE,240.06179762849584,240.27790442381573,0.21610679531988808,
RUN CURVE,240.067435323851,240.22744109644267,0.16,R avg +0.51 max 0.51 deg/100ft
BRIDGE,240.3804209427101,240.49392065494382,0.11349971223373245,
RUN CURVE,240.6853564649891,240.85119642518708,0.17,L avg -1.92 max 4.45 deg/100ft
RUN CURVE,240.89890051655416,241.09886191962917,0.2,R avg +3.19 max 4.91 deg/100ft
RUN STRAIGHT,241.09886191962917,241.31169702249449,0.21,
RUN CURVE,241.41253608479616,243.43073768241746,2.02,R avg +0.24 max 7.12 deg/100ft
RUN CURVE,243.65834827332122,246.18192850868758,2.52,L avg -0.21 max 6.59 deg/100ft
RUN CURVE,246.24477027969027,247.2879250718537,1.04,R avg +0.59 max 3.74 deg/100ft
RUN STRAIGHT,247.2879250718537,247.46424963737326,0.18,
RUN CURVE,247.46424963737326,248.08669390082238,0.62,R avg +0.46 max 8.52 deg/100ft
MULTITRACK,247.9424983921965,250.64099789278845,2.698499500591936,6 tracks
RUN CURVE,248.22649525606758,248.72506103232593,0.5,L avg -1.90 max 5.77 deg/100ft
SIDING,248.72506103232593,248.72506103232593,1.2518019105755234,Siding Lytton  4107 ft
RUN CURVE,249.0096718314218,249.2555923310443,0.25,R avg +3.01 max 5.58 deg/100ft
YARD,249.0096718314218,249.52974304090134,0.5200712094795392,9 tracks
RUN STRAIGHT,249.2555923310443,249.45199930879144,0.2,
SIDING,249.2555923310443,249.2555923310443,0.039058937463839025,Siding Lytton  128 ft
RUN STRAIGHT,249.52974304090134,250.2058929333807,0.68,
SIDING,249.52974304090134,249.52974304090134,0.2874300390203534,Siding Lytton  943 ft
RUN CURVE,250.2058929333807,250.39379337217204,0.19,L avg -0.90 max 0.90 deg/100ft
SIDING,250.2058929333807,250.2058929333807,0.847471122189883,Siding Lytton  2780 ft
SIDING,250.2058929333807,250.2058929333807,0.8466812861834622,Siding Lytton  2778 ft
SIDING,250.50001916374134,250.50001916374134,0.10235365314164813,Siding Lytton  336 ft
RUN CURVE,250.64099789278845,251.90842984422258,1.27,R avg +0.82 max 4.81 deg/100ft
RUN STRAIGHT,252.08714072982977,252.39321196927057,0.31,
RUN CURVE,252.39321196927057,252.6124084491323,0.22,R avg +0.60 max 2.20 deg/100ft
RUN STRAIGHT,252.6124084491323,252.8070592571962,0.19,
RUN CURVE,252.8070592571962,253.2768607369458,0.47,L avg -2.15 max 6.49 deg/100ft
RUN CURVE,253.31384574552635,253.8115525719162,0.5,L avg -1.92 max 3.59 deg/100ft
RUN CURVE,253.84702550085123,254.07083259180536,0.22,R avg +1.20 max 1.20 deg/100ft
RUN CURVE,254.13999541265397,254.54605049219097,0.41,R avg +0.58 max 6.60 deg/100ft
RUN CURVE,254.82073545537472,255.51374130543877,0.69,R avg +1.61 max 6.93 deg/100ft
RUN STRAIGHT,255.51374130543877,255.71064440575316,0.2,
RUN CURVE,255.71064440575316,256.3186570257895,0.61,R avg +2.17 max 7.70 deg/100ft
RUN CURVE,256.4768194128771,257.08265053377113,0.61,L avg -2.59 max 5.64 deg/100ft
RUN STRAIGHT,257.08265053377113,257.2804337922355,0.2,
MULTITRACK,257.178007041014,258.4267523929809,1.2487453519669316,4 tracks
RUN CURVE,257.3937479330854,257.6758023303255,0.28,L avg -1.70 max 2.71 deg/100ft
RUN STRAIGHT,257.6758023303255,258.2654590546965,0.59,
RUN CURVE,258.2654590546965,258.4267523929809,0.16,L avg -1.95 max 2.56 deg/100ft
RUN STRAIGHT,258.4267523929809,258.6239684231353,0.2,
RUN CURVE,258.6239684231353,259.0066767080648,0.38,L avg -7.54 max 12.70 deg/100ft
RUN STRAIGHT,259.0066767080648,259.2016592490521,0.19,
RUN CURVE,259.2016592490521,260.30121029571075,1.1,L avg -3.74 max 11.63 deg/100ft
RUN CURVE,260.33832192795626,261.0494470487924,0.71,R avg +4.60 max 9.97 deg/100ft
RUN CURVE,261.09432977021356,261.27969385594844,0.19,L avg -0.07 max 3.64 deg/100ft
RUN CURVE,261.34783709536975,262.7057366034267,1.36,R avg +0.67 max 12.56 deg/100ft
MULTITRACK,262.6308512529047,263.03134979345947,0.4004985405547927,4 tracks
RUN CURVE,262.7645231658368,265.3110344040202,2.55,L avg -0.29 max 5.65 deg/100ft
RUN STRAIGHT,265.3110344040202,265.4794079750711,0.17,
RUN CURVE,265.4794079750711,266.4271818997228,0.95,L avg -2.43 max 6.44 deg/100ft
MULTITRACK,266.3621147694962,266.722900081638,0.3607853121417861,4 tracks
BRIDGE,266.4271818997228,266.5036153809113,0.0764334811884737,
RUN CURVE,266.843988378391,267.21446992693376,0.37,L avg -1.38 max 1.97 deg/100ft
RUN CURVE,267.25520030807087,267.4226734372942,0.17,L avg -1.45 max 1.45 deg/100ft
RUN CURVE,267.92529014716905,269.61899745331203,1.69,R avg +0.51 max 11.16 deg/100ft
MULTITRACK,268.35299311919107,269.02171590828294,0.6687227890918734,4 tracks
BRIDGE,268.4434581407488,268.5829349445363,0.13947680378748828,
RUN CURVE,269.72148053812685,270.18275217447433,0.46,L avg -2.07 max 5.79 deg/100ft
RUN STRAIGHT,270.18275217447433,271.081284857627,0.9,
RUN CURVE,271.081284857627,271.7559750537132,0.67,R avg +0.91 max 8.84 deg/100ft
RUN CURVE,271.8313893534711,273.0837581878909,1.25,L avg -0.80 max 5.31 deg/100ft
RUN STRAIGHT,273.0837581878909,273.32247696186636,0.24,
RUN CURVE,273.32247696186636,273.6558332756826,0.33,L avg -1.25 max 2.44 deg/100ft
RUN CURVE,273.71436335018694,274.25798657459757,0.54,L avg -0.04 max 9.16 deg/100ft
RUN CURVE,274.4621664533144,274.86075297670965,0.4,R avg +2.87 max 10.72 deg/100ft
RUN STRAIGHT,274.86075297670965,275.1120751147437,0.25,
RUN CURVE,275.1120751147437,275.6243094947803,0.51,R avg +1.07 max 3.82 deg/100ft
RUN STRAIGHT,275.7238727689673,275.96333501416626,0.24,
RUN CURVE,275.96333501416626,276.2728426973685,0.31,L avg -3.57 max 6.09 deg/100ft
RUN STRAIGHT,276.2728426973685,276.59696073906935,0.32,
RUN CURVE,276.59696073906935,276.7711425844207,0.17,L avg -4.17 max 7.20 deg/100ft
RUN CURVE,276.83384355425324,278.68154072204885,1.85,R avg +0.19 max 8.17 deg/100ft
RUN STRAIGHT,278.68154072204885,278.9072617817574,0.23,
RUN CURVE,279.06005163296635,282.1474443549662,3.09,R avg +0.77 max 11.86 deg/100ft
RUN CURVE,282.3148978005271,283.00202879049914,0.69,R avg +1.47 max 8.75 deg/100ft
RUN CURVE,283.04086976787,284.16310249059495,1.12,R avg +0.71 max 10.84 deg/100ft
RUN CURVE,284.33500487577135,284.59663888896824,0.26,L avg -1.07 max 4.16 deg/100ft
RUN CURVE,284.6592214371026,285.3408011289804,0.68,R avg +0.93 max 5.21 deg/100ft
RUN STRAIGHT,285.3408011289804,285.6360953313932,0.3,
RUN CURVE,285.6360953313932,286.0362720115857,0.4,R avg +1.43 max 1.84 deg/100ft
RUN STRAIGHT,286.0362720115857,286.5941586361322,0.56,
RUN CURVE,286.75686813459384,288.13942230248847,1.38,L avg -0.90 max 3.79 deg/100ft
RUN STRAIGHT,288.13942230248847,289.1782896461244,1.04,
BRIDGE,288.26111215137496,288.367771356372,0.10665920499701542,
RUN CURVE,289.1782896461244,290.3034978919785,1.13,L avg -1.50 max 2.50 deg/100ft
RUN CURVE,290.3965188770642,291.46712176490007,1.07,R avg +2.75 max 9.34 deg/100ft
RUN CURVE,291.50418964426524,291.8719232321693,0.37,L avg -1.52 max 3.37 deg/100ft
RUN CURVE,291.92201320857714,292.67123923565526,0.75,L avg -1.60 max 7.47 deg/100ft
MULTITRACK,291.97299145056763,292.5774035508007,0.6044121002330485,2 tracks
RUN CURVE,292.70109253630295,293.40913161385765,0.71,R avg +1.99 max 4.28 deg/100ft
RUN CURVE,293.4465226507208,293.69026208359327,0.24,L avg -4.09 max 6.94 deg/100ft
RUN STRAIGHT,293.69026208359327,293.9803945390776,0.29,
RUN CURVE,293.9803945390776,294.3958149394183,0.42,L avg -2.97 max 5.20 deg/100ft
RUN CURVE,294.5105715561236,295.201722985959,0.69,R avg +2.16 max 5.88 deg/100ft
RUN CURVE,295.59187709219054,296.78979784360473,1.2,R avg +2.65 max 7.51 deg/100ft
RUN CURVE,296.81873057142275,297.1761650808778,0.36,L avg -4.60 max 7.50 deg/100ft
RUN STRAIGHT,297.1761650808778,297.3741164655437,0.2,
RUN CURVE,297.3741164655437,298.3638872833337,0.99,R avg +0.52 max 10.54 deg/100ft
MULTITRACK,297.9445788550489,298.31485686525485,0.3702780102059364,4 tracks
RUN CURVE,298.4210958087494,299.66620840984245,1.25,L avg -1.41 max 7.00 deg/100ft
RUN STRAIGHT,299.66620840984245,300.44017954946804,0.77,
RUN CURVE,300.44017954946804,300.7502792329121,0.31,R avg +2.75 max 3.85 deg/100ft
RUN CURVE,300.82139451010096,301.0961118167901,0.27,L avg -0.59 max 0.59 deg/100ft
RUN CURVE,301.1754459346647,301.64061290162584,0.47,R avg +1.41 max 4.26 deg/100ft
RUN STRAIGHT,301.768534762673,302.0292701231885,0.26,
MULTITRACK,301.952855806158,302.3722610323044,0.41940522614635256,3 tracks
RUN CURVE,302.0292701231885,302.5498250754994,0.52,L avg -0.16 max 1.43 deg/100ft
RUN CURVE,302.5827466881574,302.74898099964196,0.17,R avg +2.52 max 3.84 deg/100ft
RUN CURVE,302.82956996047625,303.18108761999554,0.35,L avg -2.23 max 5.33 deg/100ft
RUN CURVE,303.21754262982705,303.92424925836605,0.71,R avg +0.43 max 4.04 deg/100ft
RUN STRAIGHT,303.92424925836605,304.12368203731063,0.2,
RUN CURVE,304.12368203731063,304.31260954006376,0.19,L avg -0.30 max 0.30 deg/100ft
RUN STRAIGHT,304.31260954006376,305.2914477470417,0.98,
RUN CURVE,305.3853377992561,305.62445490714094,0.24,L avg -0.52 max 0.52 deg/100ft
RUN STRAIGHT,305.62445490714094,305.8029642523783,0.18,
RUN CURVE,305.8029642523783,306.24606145235515,0.44,R avg +1.19 max 6.97 deg/100ft
RUN CURVE,306.5413217089304,307.2251515850492,0.68,L avg -2.66 max 7.13 deg/100ft
RUN STRAIGHT,307.2251515850492,307.53101226000547,0.31,
RUN CURVE,307.53101226000547,309.76644077457996,2.24,R avg +0.30 max 6.68 deg/100ft
RUN CURVE,309.79235985648916,310.0484197258338,0.26,L avg -1.73 max 6.29 deg/100ft
RUN CURVE,310.14189503997176,310.29579848517346,0.15,L avg -3.82 max 9.46 deg/100ft
RUN CURVE,310.3317628574537,310.9027028802231,0.57,R avg +1.54 max 11.46 deg/100ft
MULTITRACK,310.8596561274919,314.9096799738884,4.050023846396471,4 tracks
RUN CURVE,310.94010017390747,311.2159902167933,0.28,R avg +6.07 max 10.19 deg/100ft
RUN STRAIGHT,311.2159902167933,311.9714918270607,0.76,
RUN CURVE,311.9714918270607,312.60915817661146,0.64,L avg -2.09 max 3.25 deg/100ft
RUN STRAIGHT,312.7549544464789,313.4654100385427,0.71,
RUN CURVE,313.4654100385427,313.65407805131713,0.19,R avg +3.34 max 3.55 deg/100ft
RUN STRAIGHT,313.65407805131713,313.94986243512926,0.3,
RUN CURVE,313.94986243512926,314.54192647155816,0.59,L avg -0.41 max 5.69 deg/100ft
RUN STRAIGHT,314.54192647155816,314.7961944317556,0.25,
RUN CURVE,314.7961944317556,314.9499552826038,0.15,R avg +2.15 max 4.08 deg/100ft
RUN CURVE,314.98778456610256,315.2526987603551,0.26,R avg +2.82 max 8.14 deg/100ft
RUN CURVE,315.28710615358665,315.43719580913364,0.15,L avg -0.56 max 3.50 deg/100ft
RUN CURVE,315.53323234799404,315.85756368348007,0.32,L avg -2.02 max 6.29 deg/100ft
RUN CURVE,315.9326587902059,316.14612378577215,0.21,R avg +0.80 max 5.74 deg/100ft
RUN CURVE,316.31743948599717,317.1501060397215,0.83,L avg -0.52 max 2.18 deg/100ft
RUN STRAIGHT,317.1501060397215,317.31110469488107,0.16,
RUN CURVE,317.31110469488107,317.6237005537133,0.31,L avg -3.77 max 7.90 deg/100ft
RUN CURVE,317.62834256061575,318.60465612993346,0.98,R avg +3.22 max 10.62 deg/100ft
MULTITRACK,317.7413531832359,318.1732171878655,0.4318640046295741,3 tracks
TUNNEL,317.8447049657093,318.1205634542032,0.2758584884938955,
RUN STRAIGHT,318.60465612993346,318.9901915942032,0.39,
RUN CURVE,318.9901915942032,320.99061195304785,2.0,L avg -1.99 max 6.39 deg/100ft
RUN CURVE,321.1388100985935,321.3340507333394,0.2,L avg -4.79 max 7.24 deg/100ft
RUN STRAIGHT,321.3340507333394,321.52736968640113,0.19,
RUN CURVE,321.68761930069337,322.80596134445443,1.12,R avg +2.69 max 9.21 deg/100ft
RUN CURVE,322.9284321922186,324.4682720248495,1.54,L avg -0.61 max 9.36 deg/100ft
RUN CURVE,324.4942584745722,325.3188978319934,0.82,L avg -0.81 max 2.50 deg/100ft
RUN STRAIGHT,325.3188978319934,326.7790743596752,1.46,
STATION,327.1785821181483,327.1785821181483,0.0,Ashcroft
RUN CURVE,327.3614491680068,329.0960095601405,1.73,L avg -1.14 max 4.58 deg/100ft
RUN CURVE,329.13587522165886,329.32057963180904,0.18,L avg -2.51 max 4.21 deg/100ft
RUN CURVE,329.357240490411,329.7579781408516,0.4,R avg +3.24 max 4.34 deg/100ft
RUN STRAIGHT,329.9113508855836,330.11965424699343,0.21,
RUN CURVE,330.11965424699343,330.82916917923757,0.71,R avg +1.93 max 3.68 deg/100ft
RUN STRAIGHT,330.82916917923757,331.44590875017053,0.62,
RUN CURVE,331.62394784576463,332.3043962740324,0.68,L avg -0.13 max 3.21 deg/100ft
RUN CURVE,332.5614222503388,333.0779401186484,0.52,L avg -2.01 max 5.70 deg/100ft
RUN CURVE,333.185136450419,333.38798724739763,0.2,R avg +3.03 max 3.29 deg/100ft
RUN STRAIGHT,333.38798724739763,333.76523332565995,0.38,
RUN CURVE,333.76523332565995,334.2094274102758,0.44,R avg +1.15 max 3.30 deg/100ft
RUN STRAIGHT,334.52480032808484,334.72040377437844,0.2,
RUN CURVE,334.72040377437844,335.2895429233935,0.57,L avg -0.29 max 1.98 deg/100ft
RUN CURVE,335.4068996400146,336.9634987661624,1.56,R avg +0.88 max 2.52 deg/100ft
RUN STRAIGHT,336.9634987661624,337.1601502879163,0.2,
RUN CURVE,337.1601502879163,338.1252757873544,0.97,L avg -0.26 max 7.25 deg/100ft
RUN CURVE,338.23305437601925,338.44362902573386,0.21,L avg -2.48 max 4.84 deg/100ft
RUN CURVE,338.4828683553439,339.1820624973548,0.7,L avg -0.25 max 7.04 deg/100ft
RUN CURVE,339.2178584971695,339.8062645070631,0.59,R avg +2.02 max 4.15 deg/100ft
RUN CURVE,339.9488997995315,340.1120258471356,0.16,L avg -1.27 max 2.16 deg/100ft
RUN STRAIGHT,340.1120258471356,341.12064469383984,1.01,
RUN CURVE,341.12064469383984,341.3290742874318,0.21,R avg +2.67 max 5.00 deg/100ft
RUN STRAIGHT,341.3290742874318,341.48844698496924,0.16,
RUN CURVE,341.48844698496924,341.6819072288427,0.19,R avg +0.51 max 4.34 deg/100ft
RUN CURVE,341.71398627196857,341.8929163849129,0.18,R avg +1.33 max 1.33 deg/100ft
RUN STRAIGHT,341.8929163849129,342.5193109459274,0.63,
RUN CURVE,342.5193109459274,342.95307365791774,0.43,R avg +2.20 max 3.74 deg/100ft
RUN STRAIGHT,342.95307365791774,343.14361618813734,0.19,
RUN CURVE,343.14361618813734,343.3718836655447,0.23,R avg +2.88 max 4.81 deg/100ft
RUN CURVE,343.44116447648696,343.8941558982856,0.45,L avg -0.98 max 6.13 deg/100ft
RUN CURVE,344.54403657287645,344.6984097286884,0.15,R avg +1.94 max 5.94 deg/100ft
RUN CURVE,344.73042685975014,345.1436536338357,0.41,L avg -0.78 max 4.34 deg/100ft
RUN CURVE,345.36709525101423,346.9491876754048,1.58,L avg -0.79 max 6.49 deg/100ft
RUN CURVE,347.0774520557338,347.66511449834053,0.59,L avg -0.67 max 1.40 deg/100ft
RUN STRAIGHT,347.66511449834053,348.3145232290357,0.65,
RUN CURVE,348.3145232290357,348.61960954715704,0.31,R avg +0.55 max 0.81 deg/100ft
RUN CURVE,348.63873357640983,349.0292379362546,0.39,R avg +0.49 max 0.54 deg/100ft
RUN CURVE,349.12391670324934,349.3530807830707,0.23,R avg +0.68 max 0.68 deg/100ft
RUN STRAIGHT,349.3530807830707,349.52940048587254,0.18,
RUN CURVE,349.52940048587254,350.0227843367593,0.49,L avg -2.11 max 3.65 deg/100ft
MULTITRACK,349.9321509666325,351.8672141657193,1.9350631990868123,6 tracks
RUN STRAIGHT,350.0227843367593,350.43408998542833,0.41,
RUN CURVE,350.43408998542833,350.62848037505427,0.19,R avg +1.65 max 2.27 deg/100ft
RUN STRAIGHT,350.62848037505427,351.13043719157054,0.5,
RUN STRAIGHT,351.3280436933569,351.7946235902921,0.47,
RUN CURVE,351.7946235902921,351.9568811992606,0.16,R avg +4.24 max 5.10 deg/100ft
RUN STRAIGHT,352.0769436484265,352.3388000629793,0.26,
RUN CURVE,352.3388000629793,352.55062979138904,0.21,L avg -0.56 max 0.56 deg/100ft
RUN STRAIGHT,352.768618710191,353.3943367511593,0.63,
RUN STRAIGHT,353.4498553780567,354.67069819953304,1.22,
RUN CURVE,354.67069819953304,354.90418937897863,0.23,L avg -1.49 max 1.84 deg/100ft
RUN CURVE,355.16665744822126,355.49269997894027,0.33,R avg +0.36 max 0.36 deg/100ft
RUN STRAIGHT,355.49269997894027,355.65563326087903,0.16,
RUN CURVE,355.82978656428674,357.14942132415223,1.32,L avg -0.73 max 1.64 deg/100ft
RUN STRAIGHT,357.3575391402235,357.5158504053486,0.16,
RUN CURVE,357.5158504053486,357.7721679872955,0.26,L avg -0.62 max 0.62 deg/100ft
RUN STRAIGHT,357.7721679872955,358.0862208385731,0.31,
RUN CURVE,358.0862208385731,358.3471396293651,0.26,L avg -1.32 max 2.03 deg/100ft
RUN CURVE,358.48435635305117,358.6370065692563,0.15,R avg +0.31 max 1.60 deg/100ft
RUN CURVE,358.7474981521614,358.9435171155313,0.2,L avg -0.83 max 0.83 deg/100ft
RUN STRAIGHT,358.9435171155313,359.20610135313495,0.26,
RUN STRAIGHT,359.43462898819007,359.6882725160471,0.25,
RUN CURVE,359.6882725160471,359.9856309598384,0.3,L avg -1.28 max 3.15 deg/100ft
RUN CURVE,360.02134786882567,360.2237386853487,0.2,L avg -1.28 max 4.14 deg/100ft
RUN STRAIGHT,360.4166596572854,360.59863082768953,0.18,
RUN STRAIGHT,360.724243961592,360.98011441821643,0.26,
RUN CURVE,360.98011441821643,361.16169606085293,0.18,R avg +2.64 max 2.94 deg/100ft
RUN CURVE,361.1998279241223,361.43786345032277,0.24,L avg -0.64 max 1.77 deg/100ft
RUN CURVE,361.7661647204657,361.9808118839491,0.21,L avg -1.32 max 2.42 deg/100ft
RUN STRAIGHT,361.9808118839491,363.3218365668458,1.34,
RUN STRAIGHT,363.3701164690857,364.07426972750096,0.7,
RUN STRAIGHT,364.31538343312064,364.86815403550924,0.55,
RUN CURVE,365.1527284546592,365.6363245102454,0.48,L avg -1.40 max 2.42 deg/100ft
RUN CURVE,365.94192124125124,366.47362513829484,0.53,R avg +3.19 max 8.04 deg/100ft
RUN CURVE,366.5235697052795,367.107886698035,0.58,L avg -2.47 max 4.27 deg/100ft
RUN STRAIGHT,367.107886698035,367.4637051995054,0.36,
RUN STRAIGHT,367.6247510985424,367.79639493678707,0.17,
RUN STRAIGHT,367.94237436258373,368.1750177016269,0.23,
RUN CURVE,368.1750177016269,368.533371420918,0.36,L avg -2.27 max 3.88 deg/100ft
RUN CURVE,368.60910067008695,368.7853560595238,0.18,R avg +1.48 max 2.39 deg/100ft
RUN CURVE,368.8542811357866,369.15522014584303,0.3,R avg +2.57 max 5.59 deg/100ft
